DATE,DAT,TREAT,NO,SP,LCC,CHN,VALUE
2022/5/10,57,LN,2,1,2,Red,105
2022/5/10,57,LN,2,2,2,Red,177
2022/5/10,57,LN,2,3,2,Red,161
2022/5/10,57,LN,2,4,2,Red,164
2022/5/10,57,LN,2,5,2,Red,167
2022/5/10,57,LN,2,6,3,Red,172
2022/5/10,57,LN,2,7,3,Red,149
2022/5/10,57,LN,2,8,3,Red,149
2022/5/10,57,LN,2,9,3,Red,136
2022/5/10,57,LN,2,10,3,Red,146
2022/5/10,57,LN,2,11,4,Red,153
2022/5/10,57,LN,2,12,4,Red,116
2022/5/10,57,LN,2,13,4,Red,110
2022/5/10,57,LN,2,14,4,Red,96
2022/5/10,57,LN,2,15,4,Red,122
2022/5/10,57,LN,2,16,5,Red,114
2022/5/10,57,LN,2,17,5,Red,73
2022/5/10,57,LN,2,18,5,Red,79
2022/5/10,57,LN,2,19,5,Red,80
2022/5/10,57,LN,2,20,5,Red,96
2022/5/10,57,LN,2,21,6,Red,81
2022/5/10,57,LN,2,22,6,Red,147
2022/5/10,57,LN,2,23,6,Red,176
2022/5/10,57,LN,2,24,6,Red,170
2022/5/10,57,LN,2,25,6,Red,156
2022/5/10,57,LN,2,26,6,Red,123
2022/5/10,57,LN,2,27,6,Red,111
2022/5/10,57,LN,2,28,6,Red,166
2022/5/10,57,LN,2,29,6,Red,111
2022/5/10,57,LN,2,30,6,Red,160
2022/5/10,57,LN,2,1,2,Green,135
2022/5/10,57,LN,2,2,2,Green,66
2022/5/10,57,LN,2,3,2,Green,56
2022/5/10,57,LN,2,4,2,Green,56
2022/5/10,57,LN,2,5,2,Green,62
2022/5/10,57,LN,2,6,3,Green,67
2022/5/10,57,LN,2,7,3,Green,68
2022/5/10,57,LN,2,8,3,Green,70
2022/5/10,57,LN,2,9,3,Green,57
2022/5/10,57,LN,2,10,3,Green,68
2022/5/10,57,LN,2,11,4,Green,75
2022/5/10,57,LN,2,12,4,Green,59
2022/5/10,57,LN,2,13,4,Green,54
2022/5/10,57,LN,2,14,4,Green,42
2022/5/10,57,LN,2,15,4,Green,68
2022/5/10,57,LN,2,16,5,Green,63
2022/5/10,57,LN,2,17,5,Green,32
2022/5/10,57,LN,2,18,5,Green,38
2022/5/10,57,LN,2,19,5,Green,39
2022/5/10,57,LN,2,20,5,Green,58
2022/5/10,57,LN,2,21,6,Green,40
2022/5/10,57,LN,2,22,6,Green,79
2022/5/10,57,LN,2,23,6,Green,99
2022/5/10,57,LN,2,24,6,Green,100
2022/5/10,57,LN,2,25,6,Green,84
2022/5/10,57,LN,2,26,6,Green,81
2022/5/10,57,LN,2,27,6,Green,70
2022/5/10,57,LN,2,28,6,Green,90
2022/5/10,57,LN,2,29,6,Green,67
2022/5/10,57,LN,2,30,6,Green,93
2022/5/10,57,LN,2,1,2,Blue,75
2022/5/10,57,LN,2,2,2,Blue,125
2022/5/10,57,LN,2,3,2,Blue,112
2022/5/10,57,LN,2,4,2,Blue,114
2022/5/10,57,LN,2,5,2,Blue,118
2022/5/10,57,LN,2,6,3,Blue,122
2022/5/10,57,LN,2,7,3,Blue,109
2022/5/10,57,LN,2,8,3,Blue,110
2022/5/10,57,LN,2,9,3,Blue,97
2022/5/10,57,LN,2,10,3,Blue,106
2022/5/10,57,LN,2,11,4,Blue,113
2022/5/10,57,LN,2,12,4,Blue,86
2022/5/10,57,LN,2,13,4,Blue,80
2022/5/10,57,LN,2,14,4,Blue,66
2022/5/10,57,LN,2,15,4,Blue,92
2022/5/10,57,LN,2,16,5,Blue,86
2022/5/10,57,LN,2,17,5,Blue,50
2022/5/10,57,LN,2,18,5,Blue,56
2022/5/10,57,LN,2,19,5,Blue,57
2022/5/10,57,LN,2,20,5,Blue,73
2022/5/10,57,LN,2,21,6,Blue,57
2022/5/10,57,LN,2,22,6,Blue,113
2022/5/10,57,LN,2,23,6,Blue,138
2022/5/10,57,LN,2,24,6,Blue,134
2022/5/10,57,LN,2,25,6,Blue,120
2022/5/10,57,LN,2,26,6,Blue,101
2022/5/10,57,LN,2,27,6,Blue,90
2022/5/10,57,LN,2,28,6,Blue,130
2022/5/10,57,LN,2,29,6,Blue,91
2022/5/10,57,LN,2,30,6,Blue,127
