DATE,DAT,TREAT,NO,SP,LCC,CHN,VALUE
2022/5/10,57,MN,1,1,2,Red,102
2022/5/10,57,MN,1,2,2,Red,138
2022/5/10,57,MN,1,3,2,Red,147
2022/5/10,57,MN,1,4,2,Red,141
2022/5/10,57,MN,1,5,2,Red,191
2022/5/10,57,MN,1,6,3,Red,238
2022/5/10,57,MN,1,7,3,Red,118
2022/5/10,57,MN,1,8,3,Red,212
2022/5/10,57,MN,1,9,3,Red,117
2022/5/10,57,MN,1,10,3,Red,158
2022/5/10,57,MN,1,11,4,Red,166
2022/5/10,57,MN,1,12,4,Red,140
2022/5/10,57,MN,1,13,4,Red,171
2022/5/10,57,MN,1,14,4,Red,143
2022/5/10,57,MN,1,15,4,Red,95
2022/5/10,57,MN,1,16,5,Red,142
2022/5/10,57,MN,1,17,5,Red,175
2022/5/10,57,MN,1,18,5,Red,142
2022/5/10,57,MN,1,19,5,Red,166
2022/5/10,57,MN,1,20,5,Red,90
2022/5/10,57,MN,1,21,6,Red,154
2022/5/10,57,MN,1,22,6,Red,162
2022/5/10,57,MN,1,23,6,Red,152
2022/5/10,57,MN,1,24,6,Red,154
2022/5/10,57,MN,1,25,6,Red,157
2022/5/10,57,MN,1,26,6,Red,166
2022/5/10,57,MN,1,27,6,Red,154
2022/5/10,57,MN,1,28,6,Red,148
2022/5/10,57,MN,1,29,6,Red,143
2022/5/10,57,MN,1,30,6,Red,149
2022/5/10,57,MN,1,1,2,Green,139
2022/5/10,57,MN,1,2,2,Green,56
2022/5/10,57,MN,1,3,2,Green,60
2022/5/10,57,MN,1,4,2,Green,61
2022/5/10,57,MN,1,5,2,Green,109
2022/5/10,57,MN,1,6,3,Green,166
2022/5/10,57,MN,1,7,3,Green,51
2022/5/10,57,MN,1,8,3,Green,152
2022/5/10,57,MN,1,9,3,Green,50
2022/5/10,57,MN,1,10,3,Green,93
2022/5/10,57,MN,1,11,4,Green,102
2022/5/10,57,MN,1,12,4,Green,95
2022/5/10,57,MN,1,13,4,Green,130
2022/5/10,57,MN,1,14,4,Green,100
2022/5/10,57,MN,1,15,4,Green,47
2022/5/10,57,MN,1,16,5,Green,97
2022/5/10,57,MN,1,17,5,Green,140
2022/5/10,57,MN,1,18,5,Green,114
2022/5/10,57,MN,1,19,5,Green,138
2022/5/10,57,MN,1,20,5,Green,56
2022/5/10,57,MN,1,21,6,Green,125
2022/5/10,57,MN,1,22,6,Green,88
2022/5/10,57,MN,1,23,6,Green,78
2022/5/10,57,MN,1,24,6,Green,80
2022/5/10,57,MN,1,25,6,Green,79
2022/5/10,57,MN,1,26,6,Green,90
2022/5/10,57,MN,1,27,6,Green,81
2022/5/10,57,MN,1,28,6,Green,75
2022/5/10,57,MN,1,29,6,Green,70
2022/5/10,57,MN,1,30,6,Green,80
2022/5/10,57,MN,1,1,2,Blue,69
2022/5/10,57,MN,1,2,2,Blue,99
2022/5/10,57,MN,1,3,2,Blue,107
2022/5/10,57,MN,1,4,2,Blue,104
2022/5/10,57,MN,1,5,2,Blue,154
2022/5/10,57,MN,1,6,3,Blue,204
2022/5/10,57,MN,1,7,3,Blue,85
2022/5/10,57,MN,1,8,3,Blue,182
2022/5/10,57,MN,1,9,3,Blue,84
2022/5/10,57,MN,1,10,3,Blue,126
2022/5/10,57,MN,1,11,4,Blue,135
2022/5/10,57,MN,1,12,4,Blue,116
2022/5/10,57,MN,1,13,4,Blue,148
2022/5/10,57,MN,1,14,4,Blue,120
2022/5/10,57,MN,1,15,4,Blue,69
2022/5/10,57,MN,1,16,5,Blue,116
2022/5/10,57,MN,1,17,5,Blue,157
2022/5/10,57,MN,1,18,5,Blue,126
2022/5/10,57,MN,1,19,5,Blue,150
2022/5/10,57,MN,1,20,5,Blue,71
2022/5/10,57,MN,1,21,6,Blue,137
2022/5/10,57,MN,1,22,6,Blue,125
2022/5/10,57,MN,1,23,6,Blue,115
2022/5/10,57,MN,1,24,6,Blue,117
2022/5/10,57,MN,1,25,6,Blue,117
2022/5/10,57,MN,1,26,6,Blue,127
2022/5/10,57,MN,1,27,6,Blue,117
2022/5/10,57,MN,1,28,6,Blue,111
2022/5/10,57,MN,1,29,6,Blue,105
2022/5/10,57,MN,1,30,6,Blue,114
