DATE,DAT,TREAT,NO,SP,LCC,CHN,VALUE
2022/5/10,57,HN,2,1,2,Red,115
2022/5/10,57,HN,2,2,2,Red,195
2022/5/10,57,HN,2,3,2,Red,190
2022/5/10,57,HN,2,4,2,Red,171
2022/5/10,57,HN,2,5,2,Red,188
2022/5/10,57,HN,2,6,3,Red,177
2022/5/10,57,HN,2,7,3,Red,146
2022/5/10,57,HN,2,8,3,Red,144
2022/5/10,57,HN,2,9,3,Red,159
2022/5/10,57,HN,2,10,3,Red,159
2022/5/10,57,HN,2,11,4,Red,150
2022/5/10,57,HN,2,12,4,Red,144
2022/5/10,57,HN,2,13,4,Red,122
2022/5/10,57,HN,2,14,4,Red,146
2022/5/10,57,HN,2,15,4,Red,129
2022/5/10,57,HN,2,16,5,Red,127
2022/5/10,57,HN,2,17,5,Red,123
2022/5/10,57,HN,2,18,5,Red,109
2022/5/10,57,HN,2,19,5,Red,125
2022/5/10,57,HN,2,20,5,Red,96
2022/5/10,57,HN,2,21,6,Red,97
2022/5/10,57,HN,2,22,6,Red,158
2022/5/10,57,HN,2,23,6,Red,167
2022/5/10,57,HN,2,24,6,Red,86
2022/5/10,57,HN,2,25,6,Red,162
2022/5/10,57,HN,2,26,6,Red,149
2022/5/10,57,HN,2,27,6,Red,163
2022/5/10,57,HN,2,28,6,Red,166
2022/5/10,57,HN,2,29,6,Red,134
2022/5/10,57,HN,2,30,6,Red,124
2022/5/10,57,HN,2,1,2,Green,142
2022/5/10,57,HN,2,2,2,Green,88
2022/5/10,57,HN,2,3,2,Green,88
2022/5/10,57,HN,2,4,2,Green,66
2022/5/10,57,HN,2,5,2,Green,83
2022/5/10,57,HN,2,6,3,Green,76
2022/5/10,57,HN,2,7,3,Green,68
2022/5/10,57,HN,2,8,3,Green,65
2022/5/10,57,HN,2,9,3,Green,81
2022/5/10,57,HN,2,10,3,Green,81
2022/5/10,57,HN,2,11,4,Green,72
2022/5/10,57,HN,2,12,4,Green,90
2022/5/10,57,HN,2,13,4,Green,68
2022/5/10,57,HN,2,14,4,Green,92
2022/5/10,57,HN,2,15,4,Green,77
2022/5/10,57,HN,2,16,5,Green,73
2022/5/10,57,HN,2,17,5,Green,86
2022/5/10,57,HN,2,18,5,Green,70
2022/5/10,57,HN,2,19,5,Green,87
2022/5/10,57,HN,2,20,5,Green,57
2022/5/10,57,HN,2,21,6,Green,56
2022/5/10,57,HN,2,22,6,Green,85
2022/5/10,57,HN,2,23,6,Green,95
2022/5/10,57,HN,2,24,6,Green,30
2022/5/10,57,HN,2,25,6,Green,88
2022/5/10,57,HN,2,26,6,Green,80
2022/5/10,57,HN,2,27,6,Green,96
2022/5/10,57,HN,2,28,6,Green,101
2022/5/10,57,HN,2,29,6,Green,68
2022/5/10,57,HN,2,30,6,Green,61
2022/5/10,57,HN,2,1,2,Blue,71
2022/5/10,57,HN,2,2,2,Blue,145
2022/5/10,57,HN,2,3,2,Blue,142
2022/5/10,57,HN,2,4,2,Blue,122
2022/5/10,57,HN,2,5,2,Blue,139
2022/5/10,57,HN,2,6,3,Blue,128
2022/5/10,57,HN,2,7,3,Blue,106
2022/5/10,57,HN,2,8,3,Blue,104
2022/5/10,57,HN,2,9,3,Blue,119
2022/5/10,57,HN,2,10,3,Blue,119
2022/5/10,57,HN,2,11,4,Blue,110
2022/5/10,57,HN,2,12,4,Blue,114
2022/5/10,57,HN,2,13,4,Blue,92
2022/5/10,57,HN,2,14,4,Blue,116
2022/5/10,57,HN,2,15,4,Blue,99
2022/5/10,57,HN,2,16,5,Blue,97
2022/5/10,57,HN,2,17,5,Blue,100
2022/5/10,57,HN,2,18,5,Blue,85
2022/5/10,57,HN,2,19,5,Blue,102
2022/5/10,57,HN,2,20,5,Blue,72
2022/5/10,57,HN,2,21,6,Blue,73
2022/5/10,57,HN,2,22,6,Blue,120
2022/5/10,57,HN,2,23,6,Blue,131
2022/5/10,57,HN,2,24,6,Blue,58
2022/5/10,57,HN,2,25,6,Blue,125
2022/5/10,57,HN,2,26,6,Blue,115
2022/5/10,57,HN,2,27,6,Blue,130
2022/5/10,57,HN,2,28,6,Blue,134
2022/5/10,57,HN,2,29,6,Blue,102
2022/5/10,57,HN,2,30,6,Blue,94
