DATE,DAT,TREAT,NO,SP,LCC,CHN,VALUE
2022/5/10,57,HN,3,1,2,Red,127
2022/5/10,57,HN,3,2,2,Red,234
2022/5/10,57,HN,3,3,2,Red,239
2022/5/10,57,HN,3,4,2,Red,166
2022/5/10,57,HN,3,5,2,Red,175
2022/5/10,57,HN,3,6,3,Red,226
2022/5/10,57,HN,3,7,3,Red,151
2022/5/10,57,HN,3,8,3,Red,177
2022/5/10,57,HN,3,9,3,Red,212
2022/5/10,57,HN,3,10,3,Red,163
2022/5/10,57,HN,3,11,4,Red,140
2022/5/10,57,HN,3,12,4,Red,166
2022/5/10,57,HN,3,13,4,Red,174
2022/5/10,57,HN,3,14,4,Red,109
2022/5/10,57,HN,3,15,4,Red,169
2022/5/10,57,HN,3,16,5,Red,145
2022/5/10,57,HN,3,17,5,Red,166
2022/5/10,57,HN,3,18,5,Red,127
2022/5/10,57,HN,3,19,5,Red,175
2022/5/10,57,HN,3,20,5,Red,192
2022/5/10,57,HN,3,21,6,Red,147
2022/5/10,57,HN,3,22,6,Red,161
2022/5/10,57,HN,3,23,6,Red,161
2022/5/10,57,HN,3,24,6,Red,152
2022/5/10,57,HN,3,25,6,Red,155
2022/5/10,57,HN,3,26,6,Red,163
2022/5/10,57,HN,3,27,6,Red,156
2022/5/10,57,HN,3,28,6,Red,153
2022/5/10,57,HN,3,29,6,Red,144
2022/5/10,57,HN,3,30,6,Red,140
2022/5/10,57,HN,3,1,2,Green,170
2022/5/10,57,HN,3,2,2,Green,157
2022/5/10,57,HN,3,3,2,Green,168
2022/5/10,57,HN,3,4,2,Green,73
2022/5/10,57,HN,3,5,2,Green,89
2022/5/10,57,HN,3,6,3,Green,149
2022/5/10,57,HN,3,7,3,Green,77
2022/5/10,57,HN,3,8,3,Green,111
2022/5/10,57,HN,3,9,3,Green,151
2022/5/10,57,HN,3,10,3,Green,90
2022/5/10,57,HN,3,11,4,Green,63
2022/5/10,57,HN,3,12,4,Green,124
2022/5/10,57,HN,3,13,4,Green,125
2022/5/10,57,HN,3,14,4,Green,56
2022/5/10,57,HN,3,15,4,Green,127
2022/5/10,57,HN,3,16,5,Green,101
2022/5/10,57,HN,3,17,5,Green,142
2022/5/10,57,HN,3,18,5,Green,98
2022/5/10,57,HN,3,19,5,Green,149
2022/5/10,57,HN,3,20,5,Green,162
2022/5/10,57,HN,3,21,6,Green,123
2022/5/10,57,HN,3,22,6,Green,84
2022/5/10,57,HN,3,23,6,Green,82
2022/5/10,57,HN,3,24,6,Green,74
2022/5/10,57,HN,3,25,6,Green,77
2022/5/10,57,HN,3,26,6,Green,84
2022/5/10,57,HN,3,27,6,Green,80
2022/5/10,57,HN,3,28,6,Green,74
2022/5/10,57,HN,3,29,6,Green,71
2022/5/10,57,HN,3,30,6,Green,73
2022/5/10,57,HN,3,1,2,Blue,81
2022/5/10,57,HN,3,2,2,Blue,197
2022/5/10,57,HN,3,3,2,Blue,204
2022/5/10,57,HN,3,4,2,Blue,122
2022/5/10,57,HN,3,5,2,Blue,133
2022/5/10,57,HN,3,6,3,Blue,188
2022/5/10,57,HN,3,7,3,Blue,114
2022/5/10,57,HN,3,8,3,Blue,143
2022/5/10,57,HN,3,9,3,Blue,180
2022/5/10,57,HN,3,10,3,Blue,125
2022/5/10,57,HN,3,11,4,Blue,102
2022/5/10,57,HN,3,12,4,Blue,142
2022/5/10,57,HN,3,13,4,Blue,147
2022/5/10,57,HN,3,14,4,Blue,80
2022/5/10,57,HN,3,15,4,Blue,145
2022/5/10,57,HN,3,16,5,Blue,120
2022/5/10,57,HN,3,17,5,Blue,150
2022/5/10,57,HN,3,18,5,Blue,109
2022/5/10,57,HN,3,19,5,Blue,158
2022/5/10,57,HN,3,20,5,Blue,174
2022/5/10,57,HN,3,21,6,Blue,131
2022/5/10,57,HN,3,22,6,Blue,123
2022/5/10,57,HN,3,23,6,Blue,121
2022/5/10,57,HN,3,24,6,Blue,112
2022/5/10,57,HN,3,25,6,Blue,115
2022/5/10,57,HN,3,26,6,Blue,123
2022/5/10,57,HN,3,27,6,Blue,117
2022/5/10,57,HN,3,28,6,Blue,113
2022/5/10,57,HN,3,29,6,Blue,107
2022/5/10,57,HN,3,30,6,Blue,107
