DATE,DAT,TREAT,NO,SP,LCC,CHN,VALUE
2022/5/10,57,HN,1,1,2,Red,113
2022/5/10,57,HN,1,2,2,Red,200
2022/5/10,57,HN,1,3,2,Red,187
2022/5/10,57,HN,1,4,2,Red,192
2022/5/10,57,HN,1,5,2,Red,173
2022/5/10,57,HN,1,6,3,Red,192
2022/5/10,57,HN,1,7,3,Red,165
2022/5/10,57,HN,1,8,3,Red,161
2022/5/10,57,HN,1,9,3,Red,174
2022/5/10,57,HN,1,10,3,Red,170
2022/5/10,57,HN,1,11,4,Red,198
2022/5/10,57,HN,1,12,4,Red,155
2022/5/10,57,HN,1,13,4,Red,154
2022/5/10,57,HN,1,14,4,Red,120
2022/5/10,57,HN,1,15,4,Red,152
2022/5/10,57,HN,1,16,5,Red,155
2022/5/10,57,HN,1,17,5,Red,98
2022/5/10,57,HN,1,18,5,Red,124
2022/5/10,57,HN,1,19,5,Red,123
2022/5/10,57,HN,1,20,5,Red,110
2022/5/10,57,HN,1,21,6,Red,136
2022/5/10,57,HN,1,22,6,Red,170
2022/5/10,57,HN,1,23,6,Red,159
2022/5/10,57,HN,1,24,6,Red,195
2022/5/10,57,HN,1,25,6,Red,166
2022/5/10,57,HN,1,26,6,Red,175
2022/5/10,57,HN,1,27,6,Red,132
2022/5/10,57,HN,1,28,6,Red,186
2022/5/10,57,HN,1,29,6,Red,156
2022/5/10,57,HN,1,30,6,Red,181
2022/5/10,57,HN,1,1,2,Green,149
2022/5/10,57,HN,1,2,2,Green,82
2022/5/10,57,HN,1,3,2,Green,66
2022/5/10,57,HN,1,4,2,Green,80
2022/5/10,57,HN,1,5,2,Green,61
2022/5/10,57,HN,1,6,3,Green,83
2022/5/10,57,HN,1,7,3,Green,77
2022/5/10,57,HN,1,8,3,Green,73
2022/5/10,57,HN,1,9,3,Green,83
2022/5/10,57,HN,1,10,3,Green,83
2022/5/10,57,HN,1,11,4,Green,118
2022/5/10,57,HN,1,12,4,Green,92
2022/5/10,57,HN,1,13,4,Green,91
2022/5/10,57,HN,1,14,4,Green,57
2022/5/10,57,HN,1,15,4,Green,92
2022/5/10,57,HN,1,16,5,Green,99
2022/5/10,57,HN,1,17,5,Green,48
2022/5/10,57,HN,1,18,5,Green,74
2022/5/10,57,HN,1,19,5,Green,79
2022/5/10,57,HN,1,20,5,Green,66
2022/5/10,57,HN,1,21,6,Green,93
2022/5/10,57,HN,1,22,6,Green,89
2022/5/10,57,HN,1,23,6,Green,80
2022/5/10,57,HN,1,24,6,Green,111
2022/5/10,57,HN,1,25,6,Green,91
2022/5/10,57,HN,1,26,6,Green,93
2022/5/10,57,HN,1,27,6,Green,57
2022/5/10,57,HN,1,28,6,Green,94
2022/5/10,57,HN,1,29,6,Green,90
2022/5/10,57,HN,1,30,6,Green,92
2022/5/10,57,HN,1,1,2,Blue,75
2022/5/10,57,HN,1,2,2,Blue,144
2022/5/10,57,HN,1,3,2,Blue,130
2022/5/10,57,HN,1,4,2,Blue,139
2022/5/10,57,HN,1,5,2,Blue,120
2022/5/10,57,HN,1,6,3,Blue,140
2022/5/10,57,HN,1,7,3,Blue,120
2022/5/10,57,HN,1,8,3,Blue,116
2022/5/10,57,HN,1,9,3,Blue,129
2022/5/10,57,HN,1,10,3,Blue,126
2022/5/10,57,HN,1,11,4,Blue,157
2022/5/10,57,HN,1,12,4,Blue,120
2022/5/10,57,HN,1,13,4,Blue,118
2022/5/10,57,HN,1,14,4,Blue,86
2022/5/10,57,HN,1,15,4,Blue,119
2022/5/10,57,HN,1,16,5,Blue,123
2022/5/10,57,HN,1,17,5,Blue,68
2022/5/10,57,HN,1,18,5,Blue,94
2022/5/10,57,HN,1,19,5,Blue,96
2022/5/10,57,HN,1,20,5,Blue,83
2022/5/10,57,HN,1,21,6,Blue,109
2022/5/10,57,HN,1,22,6,Blue,128
2022/5/10,57,HN,1,23,6,Blue,118
2022/5/10,57,HN,1,24,6,Blue,151
2022/5/10,57,HN,1,25,6,Blue,126
2022/5/10,57,HN,1,26,6,Blue,131
2022/5/10,57,HN,1,27,6,Blue,92
2022/5/10,57,HN,1,28,6,Blue,139
2022/5/10,57,HN,1,29,6,Blue,120
2022/5/10,57,HN,1,30,6,Blue,135
