DATE,DAT,TREAT,NO,SP,LCC,CHN,VALUE
2022/5/10,57,MN,2,1,2,Red,94
2022/5/10,57,MN,2,2,2,Red,224
2022/5/10,57,MN,2,3,2,Red,183
2022/5/10,57,MN,2,4,2,Red,220
2022/5/10,57,MN,2,5,2,Red,215
2022/5/10,57,MN,2,6,3,Red,215
2022/5/10,57,MN,2,7,3,Red,201
2022/5/10,57,MN,2,8,3,Red,220
2022/5/10,57,MN,2,9,3,Red,198
2022/5/10,57,MN,2,10,3,Red,149
2022/5/10,57,MN,2,11,4,Red,174
2022/5/10,57,MN,2,12,4,Red,192
2022/5/10,57,MN,2,13,4,Red,91
2022/5/10,57,MN,2,14,4,Red,191
2022/5/10,57,MN,2,15,4,Red,189
2022/5/10,57,MN,2,16,5,Red,161
2022/5/10,57,MN,2,17,5,Red,135
2022/5/10,57,MN,2,18,5,Red,91
2022/5/10,57,MN,2,19,5,Red,86
2022/5/10,57,MN,2,20,5,Red,232
2022/5/10,57,MN,2,21,6,Red,226
2022/5/10,57,MN,2,22,6,Red,162
2022/5/10,57,MN,2,23,6,Red,169
2022/5/10,57,MN,2,24,6,Red,164
2022/5/10,57,MN,2,25,6,Red,150
2022/5/10,57,MN,2,26,6,Red,165
2022/5/10,57,MN,2,27,6,Red,156
2022/5/10,57,MN,2,28,6,Red,150
2022/5/10,57,MN,2,29,6,Red,163
2022/5/10,57,MN,2,30,6,Red,155
2022/5/10,57,MN,2,1,2,Green,133
2022/5/10,57,MN,2,2,2,Green,151
2022/5/10,57,MN,2,3,2,Green,91
2022/5/10,57,MN,2,4,2,Green,140
2022/5/10,57,MN,2,5,2,Green,136
2022/5/10,57,MN,2,6,3,Green,146
2022/5/10,57,MN,2,7,3,Green,146
2022/5/10,57,MN,2,8,3,Green,158
2022/5/10,57,MN,2,9,3,Green,138
2022/5/10,57,MN,2,10,3,Green,81
2022/5/10,57,MN,2,11,4,Green,108
2022/5/10,57,MN,2,12,4,Green,155
2022/5/10,57,MN,2,13,4,Green,50
2022/5/10,57,MN,2,14,4,Green,156
2022/5/10,57,MN,2,15,4,Green,149
2022/5/10,57,MN,2,16,5,Green,123
2022/5/10,57,MN,2,17,5,Green,109
2022/5/10,57,MN,2,18,5,Green,63
2022/5/10,57,MN,2,19,5,Green,58
2022/5/10,57,MN,2,20,5,Green,205
2022/5/10,57,MN,2,21,6,Green,200
2022/5/10,57,MN,2,22,6,Green,92
2022/5/10,57,MN,2,23,6,Green,89
2022/5/10,57,MN,2,24,6,Green,85
2022/5/10,57,MN,2,25,6,Green,75
2022/5/10,57,MN,2,26,6,Green,86
2022/5/10,57,MN,2,27,6,Green,82
2022/5/10,57,MN,2,28,6,Green,78
2022/5/10,57,MN,2,29,6,Green,84
2022/5/10,57,MN,2,30,6,Green,75
2022/5/10,57,MN,2,1,2,Blue,66
2022/5/10,57,MN,2,2,2,Blue,187
2022/5/10,57,MN,2,3,2,Blue,139
2022/5/10,57,MN,2,4,2,Blue,181
2022/5/10,57,MN,2,5,2,Blue,176
2022/5/10,57,MN,2,6,3,Blue,180
2022/5/10,57,MN,2,7,3,Blue,172
2022/5/10,57,MN,2,8,3,Blue,187
2022/5/10,57,MN,2,9,3,Blue,167
2022/5/10,57,MN,2,10,3,Blue,115
2022/5/10,57,MN,2,11,4,Blue,140
2022/5/10,57,MN,2,12,4,Blue,171
2022/5/10,57,MN,2,13,4,Blue,68
2022/5/10,57,MN,2,14,4,Blue,170
2022/5/10,57,MN,2,15,4,Blue,166
2022/5/10,57,MN,2,16,5,Blue,138
2022/5/10,57,MN,2,17,5,Blue,120
2022/5/10,57,MN,2,18,5,Blue,75
2022/5/10,57,MN,2,19,5,Blue,70
2022/5/10,57,MN,2,20,5,Blue,216
2022/5/10,57,MN,2,21,6,Blue,210
2022/5/10,57,MN,2,22,6,Blue,125
2022/5/10,57,MN,2,23,6,Blue,128
2022/5/10,57,MN,2,24,6,Blue,123
2022/5/10,57,MN,2,25,6,Blue,110
2022/5/10,57,MN,2,26,6,Blue,124
2022/5/10,57,MN,2,27,6,Blue,117
2022/5/10,57,MN,2,28,6,Blue,112
2022/5/10,57,MN,2,29,6,Blue,122
2022/5/10,57,MN,2,30,6,Blue,114
