DATE,DAT,TREAT,NO,SP,LCC,CHN,VALUE
2022/5/17,64,LN,3,1,2,Red,119
2022/5/17,64,LN,3,2,2,Red,205
2022/5/17,64,LN,3,3,2,Red,182
2022/5/17,64,LN,3,4,2,Red,220
2022/5/17,64,LN,3,5,2,Red,207
2022/5/17,64,LN,3,6,3,Red,215
2022/5/17,64,LN,3,7,3,Red,198
2022/5/17,64,LN,3,8,3,Red,161
2022/5/17,64,LN,3,9,3,Red,197
2022/5/17,64,LN,3,10,3,Red,188
2022/5/17,64,LN,3,11,4,Red,189
2022/5/17,64,LN,3,12,4,Red,126
2022/5/17,64,LN,3,13,4,Red,171
2022/5/17,64,LN,3,14,4,Red,176
2022/5/17,64,LN,3,15,4,Red,145
2022/5/17,64,LN,3,16,5,Red,141
2022/5/17,64,LN,3,17,5,Red,129
2022/5/17,64,LN,3,18,5,Red,126
2022/5/17,64,LN,3,19,5,Red,153
2022/5/17,64,LN,3,20,5,Red,137
2022/5/17,64,LN,3,21,6,Red,150
2022/5/17,64,LN,3,22,6,Red,128
2022/5/17,64,LN,3,23,6,Red,130
2022/5/17,64,LN,3,24,6,Red,134
2022/5/17,64,LN,3,25,6,Red,124
2022/5/17,64,LN,3,26,6,Red,122
2022/5/17,64,LN,3,27,6,Red,127
2022/5/17,64,LN,3,28,6,Red,140
2022/5/17,64,LN,3,29,6,Red,138
2022/5/17,64,LN,3,30,6,Red,131
2022/5/17,64,LN,3,1,2,Green,172
2022/5/17,64,LN,3,2,2,Green,99
2022/5/17,64,LN,3,3,2,Green,79
2022/5/17,64,LN,3,4,2,Green,113
2022/5/17,64,LN,3,5,2,Green,98
2022/5/17,64,LN,3,6,3,Green,109
2022/5/17,64,LN,3,7,3,Green,135
2022/5/17,64,LN,3,8,3,Green,100
2022/5/17,64,LN,3,9,3,Green,133
2022/5/17,64,LN,3,10,3,Green,125
2022/5/17,64,LN,3,11,4,Green,119
2022/5/17,64,LN,3,12,4,Green,88
2022/5/17,64,LN,3,13,4,Green,133
2022/5/17,64,LN,3,14,4,Green,138
2022/5/17,64,LN,3,15,4,Green,106
2022/5/17,64,LN,3,16,5,Green,103
2022/5/17,64,LN,3,17,5,Green,107
2022/5/17,64,LN,3,18,5,Green,104
2022/5/17,64,LN,3,19,5,Green,131
2022/5/17,64,LN,3,20,5,Green,116
2022/5/17,64,LN,3,21,6,Green,128
2022/5/17,64,LN,3,22,6,Green,58
2022/5/17,64,LN,3,23,6,Green,55
2022/5/17,64,LN,3,24,6,Green,72
2022/5/17,64,LN,3,25,6,Green,52
2022/5/17,64,LN,3,26,6,Green,53
2022/5/17,64,LN,3,27,6,Green,54
2022/5/17,64,LN,3,28,6,Green,67
2022/5/17,64,LN,3,29,6,Green,66
2022/5/17,64,LN,3,30,6,Green,59
2022/5/17,64,LN,3,1,2,Blue,92
2022/5/17,64,LN,3,2,2,Blue,150
2022/5/17,64,LN,3,3,2,Blue,128
2022/5/17,64,LN,3,4,2,Blue,164
2022/5/17,64,LN,3,5,2,Blue,150
2022/5/17,64,LN,3,6,3,Blue,160
2022/5/17,64,LN,3,7,3,Blue,162
2022/5/17,64,LN,3,8,3,Blue,126
2022/5/17,64,LN,3,9,3,Blue,160
2022/5/17,64,LN,3,10,3,Blue,152
2022/5/17,64,LN,3,11,4,Blue,150
2022/5/17,64,LN,3,12,4,Blue,101
2022/5/17,64,LN,3,13,4,Blue,146
2022/5/17,64,LN,3,14,4,Blue,151
2022/5/17,64,LN,3,15,4,Blue,119
2022/5/17,64,LN,3,16,5,Blue,116
2022/5/17,64,LN,3,17,5,Blue,112
2022/5/17,64,LN,3,18,5,Blue,109
2022/5/17,64,LN,3,19,5,Blue,136
2022/5/17,64,LN,3,20,5,Blue,119
2022/5/17,64,LN,3,21,6,Blue,133
2022/5/17,64,LN,3,22,6,Blue,89
2022/5/17,64,LN,3,23,6,Blue,88
2022/5/17,64,LN,3,24,6,Blue,97
2022/5/17,64,LN,3,25,6,Blue,83
2022/5/17,64,LN,3,26,6,Blue,82
2022/5/17,64,LN,3,27,6,Blue,86
2022/5/17,64,LN,3,28,6,Blue,100
2022/5/17,64,LN,3,29,6,Blue,98
2022/5/17,64,LN,3,30,6,Blue,91
