DATE,DAT,TREAT,NO,SP,LCC,CHN,VALUE
2022/5/17,64,HN,1,1,2,Red,82
2022/5/17,64,HN,1,2,2,Red,158
2022/5/17,64,HN,1,3,2,Red,181
2022/5/17,64,HN,1,4,2,Red,177
2022/5/17,64,HN,1,5,2,Red,167
2022/5/17,64,HN,1,6,3,Red,190
2022/5/17,64,HN,1,7,3,Red,138
2022/5/17,64,HN,1,8,3,Red,168
2022/5/17,64,HN,1,9,3,Red,174
2022/5/17,64,HN,1,10,3,Red,160
2022/5/17,64,HN,1,11,4,Red,165
2022/5/17,64,HN,1,12,4,Red,129
2022/5/17,64,HN,1,13,4,Red,128
2022/5/17,64,HN,1,14,4,Red,117
2022/5/17,64,HN,1,15,4,Red,168
2022/5/17,64,HN,1,16,5,Red,172
2022/5/17,64,HN,1,17,5,Red,115
2022/5/17,64,HN,1,18,5,Red,130
2022/5/17,64,HN,1,19,5,Red,123
2022/5/17,64,HN,1,20,5,Red,147
2022/5/17,64,HN,1,21,6,Red,130
2022/5/17,64,HN,1,22,6,Red,107
2022/5/17,64,HN,1,23,6,Red,115
2022/5/17,64,HN,1,24,6,Red,113
2022/5/17,64,HN,1,25,6,Red,129
2022/5/17,64,HN,1,26,6,Red,120
2022/5/17,64,HN,1,27,6,Red,120
2022/5/17,64,HN,1,28,6,Red,138
2022/5/17,64,HN,1,29,6,Red,135
2022/5/17,64,HN,1,30,6,Red,139
2022/5/17,64,HN,1,1,2,Green,132
2022/5/17,64,HN,1,2,2,Green,75
2022/5/17,64,HN,1,3,2,Green,109
2022/5/17,64,HN,1,4,2,Green,96
2022/5/17,64,HN,1,5,2,Green,95
2022/5/17,64,HN,1,6,3,Green,120
2022/5/17,64,HN,1,7,3,Green,85
2022/5/17,64,HN,1,8,3,Green,116
2022/5/17,64,HN,1,9,3,Green,118
2022/5/17,64,HN,1,10,3,Green,104
2022/5/17,64,HN,1,11,4,Green,112
2022/5/17,64,HN,1,12,4,Green,93
2022/5/17,64,HN,1,13,4,Green,95
2022/5/17,64,HN,1,14,4,Green,81
2022/5/17,64,HN,1,15,4,Green,134
2022/5/17,64,HN,1,16,5,Green,135
2022/5/17,64,HN,1,17,5,Green,95
2022/5/17,64,HN,1,18,5,Green,110
2022/5/17,64,HN,1,19,5,Green,105
2022/5/17,64,HN,1,20,5,Green,129
2022/5/17,64,HN,1,21,6,Green,106
2022/5/17,64,HN,1,22,6,Green,61
2022/5/17,64,HN,1,23,6,Green,66
2022/5/17,64,HN,1,24,6,Green,64
2022/5/17,64,HN,1,25,6,Green,80
2022/5/17,64,HN,1,26,6,Green,68
2022/5/17,64,HN,1,27,6,Green,72
2022/5/17,64,HN,1,28,6,Green,75
2022/5/17,64,HN,1,29,6,Green,73
2022/5/17,64,HN,1,30,6,Green,74
2022/5/17,64,HN,1,1,2,Blue,71
2022/5/17,64,HN,1,2,2,Blue,115
2022/5/17,64,HN,1,3,2,Blue,142
2022/5/17,64,HN,1,4,2,Blue,134
2022/5/17,64,HN,1,5,2,Blue,127
2022/5/17,64,HN,1,6,3,Blue,151
2022/5/17,64,HN,1,7,3,Blue,107
2022/5/17,64,HN,1,8,3,Blue,137
2022/5/17,64,HN,1,9,3,Blue,142
2022/5/17,64,HN,1,10,3,Blue,127
2022/5/17,64,HN,1,11,4,Blue,133
2022/5/17,64,HN,1,12,4,Blue,105
2022/5/17,64,HN,1,13,4,Blue,105
2022/5/17,64,HN,1,14,4,Blue,93
2022/5/17,64,HN,1,15,4,Blue,144
2022/5/17,64,HN,1,16,5,Blue,147
2022/5/17,64,HN,1,17,5,Blue,99
2022/5/17,64,HN,1,18,5,Blue,114
2022/5/17,64,HN,1,19,5,Blue,107
2022/5/17,64,HN,1,20,5,Blue,131
2022/5/17,64,HN,1,21,6,Blue,111
2022/5/17,64,HN,1,22,6,Blue,77
2022/5/17,64,HN,1,23,6,Blue,84
2022/5/17,64,HN,1,24,6,Blue,81
2022/5/17,64,HN,1,25,6,Blue,98
2022/5/17,64,HN,1,26,6,Blue,87
2022/5/17,64,HN,1,27,6,Blue,90
2022/5/17,64,HN,1,28,6,Blue,102
2022/5/17,64,HN,1,29,6,Blue,101
2022/5/17,64,HN,1,30,6,Blue,102
