DATE,DAT,TREAT,NO,SP,LCC,CHN,VALUE
2022/5/17,64,LN,2,1,2,Red,86
2022/5/17,64,LN,2,2,2,Red,229
2022/5/17,64,LN,2,3,2,Red,221
2022/5/17,64,LN,2,4,2,Red,213
2022/5/17,64,LN,2,5,2,Red,214
2022/5/17,64,LN,2,6,3,Red,230
2022/5/17,64,LN,2,7,3,Red,161
2022/5/17,64,LN,2,8,3,Red,182
2022/5/17,64,LN,2,9,3,Red,203
2022/5/17,64,LN,2,10,3,Red,180
2022/5/17,64,LN,2,11,4,Red,191
2022/5/17,64,LN,2,12,4,Red,169
2022/5/17,64,LN,2,13,4,Red,179
2022/5/17,64,LN,2,14,4,Red,143
2022/5/17,64,LN,2,15,4,Red,148
2022/5/17,64,LN,2,16,5,Red,162
2022/5/17,64,LN,2,17,5,Red,134
2022/5/17,64,LN,2,18,5,Red,153
2022/5/17,64,LN,2,19,5,Red,134
2022/5/17,64,LN,2,20,5,Red,154
2022/5/17,64,LN,2,21,6,Red,165
2022/5/17,64,LN,2,22,6,Red,118
2022/5/17,64,LN,2,23,6,Red,151
2022/5/17,64,LN,2,24,6,Red,134
2022/5/17,64,LN,2,25,6,Red,134
2022/5/17,64,LN,2,26,6,Red,121
2022/5/17,64,LN,2,27,6,Red,125
2022/5/17,64,LN,2,28,6,Red,122
2022/5/17,64,LN,2,29,6,Red,109
2022/5/17,64,LN,2,30,6,Red,136
2022/5/17,64,LN,2,1,2,Green,129
2022/5/17,64,LN,2,2,2,Green,124
2022/5/17,64,LN,2,3,2,Green,114
2022/5/17,64,LN,2,4,2,Green,106
2022/5/17,64,LN,2,5,2,Green,104
2022/5/17,64,LN,2,6,3,Green,125
2022/5/17,64,LN,2,7,3,Green,97
2022/5/17,64,LN,2,8,3,Green,113
2022/5/17,64,LN,2,9,3,Green,134
2022/5/17,64,LN,2,10,3,Green,113
2022/5/17,64,LN,2,11,4,Green,122
2022/5/17,64,LN,2,12,4,Green,126
2022/5/17,64,LN,2,13,4,Green,136
2022/5/17,64,LN,2,14,4,Green,99
2022/5/17,64,LN,2,15,4,Green,104
2022/5/17,64,LN,2,16,5,Green,117
2022/5/17,64,LN,2,17,5,Green,110
2022/5/17,64,LN,2,18,5,Green,127
2022/5/17,64,LN,2,19,5,Green,110
2022/5/17,64,LN,2,20,5,Green,130
2022/5/17,64,LN,2,21,6,Green,141
2022/5/17,64,LN,2,22,6,Green,50
2022/5/17,64,LN,2,23,6,Green,85
2022/5/17,64,LN,2,24,6,Green,67
2022/5/17,64,LN,2,25,6,Green,72
2022/5/17,64,LN,2,26,6,Green,53
2022/5/17,64,LN,2,27,6,Green,66
2022/5/17,64,LN,2,28,6,Green,63
2022/5/17,64,LN,2,29,6,Green,50
2022/5/17,64,LN,2,30,6,Green,76
2022/5/17,64,LN,2,1,2,Blue,73
2022/5/17,64,LN,2,2,2,Blue,175
2022/5/17,64,LN,2,3,2,Blue,167
2022/5/17,64,LN,2,4,2,Blue,158
2022/5/17,64,LN,2,5,2,Blue,158
2022/5/17,64,LN,2,6,3,Blue,176
2022/5/17,64,LN,2,7,3,Blue,126
2022/5/17,64,LN,2,8,3,Blue,145
2022/5/17,64,LN,2,9,3,Blue,166
2022/5/17,64,LN,2,10,3,Blue,143
2022/5/17,64,LN,2,11,4,Blue,154
2022/5/17,64,LN,2,12,4,Blue,142
2022/5/17,64,LN,2,13,4,Blue,152
2022/5/17,64,LN,2,14,4,Blue,116
2022/5/17,64,LN,2,15,4,Blue,120
2022/5/17,64,LN,2,16,5,Blue,134
2022/5/17,64,LN,2,17,5,Blue,116
2022/5/17,64,LN,2,18,5,Blue,134
2022/5/17,64,LN,2,19,5,Blue,116
2022/5/17,64,LN,2,20,5,Blue,135
2022/5/17,64,LN,2,21,6,Blue,146
2022/5/17,64,LN,2,22,6,Blue,80
2022/5/17,64,LN,2,23,6,Blue,113
2022/5/17,64,LN,2,24,6,Blue,95
2022/5/17,64,LN,2,25,6,Blue,97
2022/5/17,64,LN,2,26,6,Blue,83
2022/5/17,64,LN,2,27,6,Blue,88
2022/5/17,64,LN,2,28,6,Blue,87
2022/5/17,64,LN,2,29,6,Blue,74
2022/5/17,64,LN,2,30,6,Blue,100
