DATE,DAT,TREAT,NO,SP,LCC,CHN,VALUE
2022/5/17,64,MN,1,1,2,Red,74
2022/5/17,64,MN,1,2,2,Red,133
2022/5/17,64,MN,1,3,2,Red,193
2022/5/17,64,MN,1,4,2,Red,161
2022/5/17,64,MN,1,5,2,Red,128
2022/5/17,64,MN,1,6,3,Red,138
2022/5/17,64,MN,1,7,3,Red,140
2022/5/17,64,MN,1,8,3,Red,187
2022/5/17,64,MN,1,9,3,Red,138
2022/5/17,64,MN,1,10,3,Red,165
2022/5/17,64,MN,1,11,4,Red,137
2022/5/17,64,MN,1,12,4,Red,138
2022/5/17,64,MN,1,13,4,Red,118
2022/5/17,64,MN,1,14,4,Red,132
2022/5/17,64,MN,1,15,4,Red,117
2022/5/17,64,MN,1,16,5,Red,157
2022/5/17,64,MN,1,17,5,Red,109
2022/5/17,64,MN,1,18,5,Red,114
2022/5/17,64,MN,1,19,5,Red,120
2022/5/17,64,MN,1,20,5,Red,128
2022/5/17,64,MN,1,21,6,Red,115
2022/5/17,64,MN,1,22,6,Red,118
2022/5/17,64,MN,1,23,6,Red,120
2022/5/17,64,MN,1,24,6,Red,117
2022/5/17,64,MN,1,25,6,Red,129
2022/5/17,64,MN,1,26,6,Red,119
2022/5/17,64,MN,1,27,6,Red,103
2022/5/17,64,MN,1,28,6,Red,119
2022/5/17,64,MN,1,29,6,Red,110
2022/5/17,64,MN,1,30,6,Red,119
2022/5/17,64,MN,1,1,2,Green,122
2022/5/17,64,MN,1,2,2,Green,42
2022/5/17,64,MN,1,3,2,Green,104
2022/5/17,64,MN,1,4,2,Green,66
2022/5/17,64,MN,1,5,2,Green,43
2022/5/17,64,MN,1,6,3,Green,46
2022/5/17,64,MN,1,7,3,Green,90
2022/5/17,64,MN,1,8,3,Green,134
2022/5/17,64,MN,1,9,3,Green,85
2022/5/17,64,MN,1,10,3,Green,120
2022/5/17,64,MN,1,11,4,Green,77
2022/5/17,64,MN,1,12,4,Green,106
2022/5/17,64,MN,1,13,4,Green,87
2022/5/17,64,MN,1,14,4,Green,101
2022/5/17,64,MN,1,15,4,Green,86
2022/5/17,64,MN,1,16,5,Green,128
2022/5/17,64,MN,1,17,5,Green,91
2022/5/17,64,MN,1,18,5,Green,96
2022/5/17,64,MN,1,19,5,Green,102
2022/5/17,64,MN,1,20,5,Green,110
2022/5/17,64,MN,1,21,6,Green,97
2022/5/17,64,MN,1,22,6,Green,58
2022/5/17,64,MN,1,23,6,Green,65
2022/5/17,64,MN,1,24,6,Green,53
2022/5/17,64,MN,1,25,6,Green,76
2022/5/17,64,MN,1,26,6,Green,53
2022/5/17,64,MN,1,27,6,Green,51
2022/5/17,64,MN,1,28,6,Green,49
2022/5/17,64,MN,1,29,6,Green,49
2022/5/17,64,MN,1,30,6,Green,47
2022/5/17,64,MN,1,1,2,Blue,62
2022/5/17,64,MN,1,2,2,Blue,86
2022/5/17,64,MN,1,3,2,Blue,147
2022/5/17,64,MN,1,4,2,Blue,113
2022/5/17,64,MN,1,5,2,Blue,85
2022/5/17,64,MN,1,6,3,Blue,92
2022/5/17,64,MN,1,7,3,Blue,110
2022/5/17,64,MN,1,8,3,Blue,156
2022/5/17,64,MN,1,9,3,Blue,107
2022/5/17,64,MN,1,10,3,Blue,137
2022/5/17,64,MN,1,11,4,Blue,103
2022/5/17,64,MN,1,12,4,Blue,116
2022/5/17,64,MN,1,13,4,Blue,97
2022/5/17,64,MN,1,14,4,Blue,111
2022/5/17,64,MN,1,15,4,Blue,96
2022/5/17,64,MN,1,16,5,Blue,136
2022/5/17,64,MN,1,17,5,Blue,93
2022/5/17,64,MN,1,18,5,Blue,98
2022/5/17,64,MN,1,19,5,Blue,104
2022/5/17,64,MN,1,20,5,Blue,112
2022/5/17,64,MN,1,21,6,Blue,99
2022/5/17,64,MN,1,22,6,Blue,82
2022/5/17,64,MN,1,23,6,Blue,87
2022/5/17,64,MN,1,24,6,Blue,78
2022/5/17,64,MN,1,25,6,Blue,95
2022/5/17,64,MN,1,26,6,Blue,80
2022/5/17,64,MN,1,27,6,Blue,70
2022/5/17,64,MN,1,28,6,Blue,78
2022/5/17,64,MN,1,29,6,Blue,73
2022/5/17,64,MN,1,30,6,Blue,78
