DATE,DAT,TREAT,NO,SP,LCC,CHN,VALUE
2022/5/17,64,HN,2,1,2,Red,70
2022/5/17,64,HN,2,2,2,Red,178
2022/5/17,64,HN,2,3,2,Red,178
2022/5/17,64,HN,2,4,2,Red,187
2022/5/17,64,HN,2,5,2,Red,162
2022/5/17,64,HN,2,6,3,Red,198
2022/5/17,64,HN,2,7,3,Red,157
2022/5/17,64,HN,2,8,3,Red,173
2022/5/17,64,HN,2,9,3,Red,164
2022/5/17,64,HN,2,10,3,Red,172
2022/5/17,64,HN,2,11,4,Red,153
2022/5/17,64,HN,2,12,4,Red,135
2022/5/17,64,HN,2,13,4,Red,107
2022/5/17,64,HN,2,14,4,Red,104
2022/5/17,64,HN,2,15,4,Red,138
2022/5/17,64,HN,2,16,5,Red,155
2022/5/17,64,HN,2,17,5,Red,125
2022/5/17,64,HN,2,18,5,Red,102
2022/5/17,64,HN,2,19,5,Red,100
2022/5/17,64,HN,2,20,5,Red,127
2022/5/17,64,HN,2,21,6,Red,139
2022/5/17,64,HN,2,22,6,Red,124
2022/5/17,64,HN,2,23,6,Red,101
2022/5/17,64,HN,2,24,6,Red,118
2022/5/17,64,HN,2,25,6,Red,118
2022/5/17,64,HN,2,26,6,Red,121
2022/5/17,64,HN,2,27,6,Red,123
2022/5/17,64,HN,2,28,6,Red,120
2022/5/17,64,HN,2,29,6,Red,111
2022/5/17,64,HN,2,30,6,Red,117
2022/5/17,64,HN,2,1,2,Green,111
2022/5/17,64,HN,2,2,2,Green,86
2022/5/17,64,HN,2,3,2,Green,97
2022/5/17,64,HN,2,4,2,Green,98
2022/5/17,64,HN,2,5,2,Green,73
2022/5/17,64,HN,2,6,3,Green,109
2022/5/17,64,HN,2,7,3,Green,97
2022/5/17,64,HN,2,8,3,Green,116
2022/5/17,64,HN,2,9,3,Green,109
2022/5/17,64,HN,2,10,3,Green,114
2022/5/17,64,HN,2,11,4,Green,96
2022/5/17,64,HN,2,12,4,Green,98
2022/5/17,64,HN,2,13,4,Green,61
2022/5/17,64,HN,2,14,4,Green,69
2022/5/17,64,HN,2,15,4,Green,98
2022/5/17,64,HN,2,16,5,Green,115
2022/5/17,64,HN,2,17,5,Green,103
2022/5/17,64,HN,2,18,5,Green,78
2022/5/17,64,HN,2,19,5,Green,76
2022/5/17,64,HN,2,20,5,Green,105
2022/5/17,64,HN,2,21,6,Green,115
2022/5/17,64,HN,2,22,6,Green,67
2022/5/17,64,HN,2,23,6,Green,41
2022/5/17,64,HN,2,24,6,Green,61
2022/5/17,64,HN,2,25,6,Green,60
2022/5/17,64,HN,2,26,6,Green,60
2022/5/17,64,HN,2,27,6,Green,67
2022/5/17,64,HN,2,28,6,Green,56
2022/5/17,64,HN,2,29,6,Green,55
2022/5/17,64,HN,2,30,6,Green,58
2022/5/17,64,HN,2,1,2,Blue,53
2022/5/17,64,HN,2,2,2,Blue,131
2022/5/17,64,HN,2,3,2,Blue,135
2022/5/17,64,HN,2,4,2,Blue,141
2022/5/17,64,HN,2,5,2,Blue,116
2022/5/17,64,HN,2,6,3,Blue,152
2022/5/17,64,HN,2,7,3,Blue,124
2022/5/17,64,HN,2,8,3,Blue,141
2022/5/17,64,HN,2,9,3,Blue,133
2022/5/17,64,HN,2,10,3,Blue,139
2022/5/17,64,HN,2,11,4,Blue,121
2022/5/17,64,HN,2,12,4,Blue,111
2022/5/17,64,HN,2,13,4,Blue,80
2022/5/17,64,HN,2,14,4,Blue,81
2022/5/17,64,HN,2,15,4,Blue,113
2022/5/17,64,HN,2,16,5,Blue,130
2022/5/17,64,HN,2,17,5,Blue,108
2022/5/17,64,HN,2,18,5,Blue,84
2022/5/17,64,HN,2,19,5,Blue,82
2022/5/17,64,HN,2,20,5,Blue,110
2022/5/17,64,HN,2,21,6,Blue,120
2022/5/17,64,HN,2,22,6,Blue,92
2022/5/17,64,HN,2,23,6,Blue,68
2022/5/17,64,HN,2,24,6,Blue,86
2022/5/17,64,HN,2,25,6,Blue,85
2022/5/17,64,HN,2,26,6,Blue,89
2022/5/17,64,HN,2,27,6,Blue,91
2022/5/17,64,HN,2,28,6,Blue,87
2022/5/17,64,HN,2,29,6,Blue,78
2022/5/17,64,HN,2,30,6,Blue,83
