DATE,DAT,TREAT,NO,SP,LCC,CHN,VALUE
2022/5/17,64,MN,2,1,2,Red,74
2022/5/17,64,MN,2,2,2,Red,149
2022/5/17,64,MN,2,3,2,Red,180
2022/5/17,64,MN,2,4,2,Red,152
2022/5/17,64,MN,2,5,2,Red,163
2022/5/17,64,MN,2,6,3,Red,170
2022/5/17,64,MN,2,7,3,Red,161
2022/5/17,64,MN,2,8,3,Red,142
2022/5/17,64,MN,2,9,3,Red,156
2022/5/17,64,MN,2,10,3,Red,167
2022/5/17,64,MN,2,11,4,Red,174
2022/5/17,64,MN,2,12,4,Red,153
2022/5/17,64,MN,2,13,4,Red,135
2022/5/17,64,MN,2,14,4,Red,124
2022/5/17,64,MN,2,15,4,Red,129
2022/5/17,64,MN,2,16,5,Red,121
2022/5/17,64,MN,2,17,5,Red,128
2022/5/17,64,MN,2,18,5,Red,126
2022/5/17,64,MN,2,19,5,Red,107
2022/5/17,64,MN,2,20,5,Red,117
2022/5/17,64,MN,2,21,6,Red,113
2022/5/17,64,MN,2,22,6,Red,111
2022/5/17,64,MN,2,23,6,Red,123
2022/5/17,64,MN,2,24,6,Red,118
2022/5/17,64,MN,2,25,6,Red,120
2022/5/17,64,MN,2,26,6,Red,124
2022/5/17,64,MN,2,27,6,Red,118
2022/5/17,64,MN,2,28,6,Red,121
2022/5/17,64,MN,2,29,6,Red,129
2022/5/17,64,MN,2,30,6,Red,119
2022/5/17,64,MN,2,1,2,Green,123
2022/5/17,64,MN,2,2,2,Green,64
2022/5/17,64,MN,2,3,2,Green,95
2022/5/17,64,MN,2,4,2,Green,70
2022/5/17,64,MN,2,5,2,Green,84
2022/5/17,64,MN,2,6,3,Green,95
2022/5/17,64,MN,2,7,3,Green,109
2022/5/17,64,MN,2,8,3,Green,91
2022/5/17,64,MN,2,9,3,Green,105
2022/5/17,64,MN,2,10,3,Green,116
2022/5/17,64,MN,2,11,4,Green,125
2022/5/17,64,MN,2,12,4,Green,122
2022/5/17,64,MN,2,13,4,Green,104
2022/5/17,64,MN,2,14,4,Green,96
2022/5/17,64,MN,2,15,4,Green,101
2022/5/17,64,MN,2,16,5,Green,90
2022/5/17,64,MN,2,17,5,Green,111
2022/5/17,64,MN,2,18,5,Green,109
2022/5/17,64,MN,2,19,5,Green,90
2022/5/17,64,MN,2,20,5,Green,98
2022/5/17,64,MN,2,21,6,Green,93
2022/5/17,64,MN,2,22,6,Green,58
2022/5/17,64,MN,2,23,6,Green,70
2022/5/17,64,MN,2,24,6,Green,59
2022/5/17,64,MN,2,25,6,Green,69
2022/5/17,64,MN,2,26,6,Green,64
2022/5/17,64,MN,2,27,6,Green,62
2022/5/17,64,MN,2,28,6,Green,58
2022/5/17,64,MN,2,29,6,Green,70
2022/5/17,64,MN,2,30,6,Green,55
2022/5/17,64,MN,2,1,2,Blue,57
2022/5/17,64,MN,2,2,2,Blue,106
2022/5/17,64,MN,2,3,2,Blue,137
2022/5/17,64,MN,2,4,2,Blue,111
2022/5/17,64,MN,2,5,2,Blue,122
2022/5/17,64,MN,2,6,3,Blue,130
2022/5/17,64,MN,2,7,3,Blue,130
2022/5/17,64,MN,2,8,3,Blue,112
2022/5/17,64,MN,2,9,3,Blue,126
2022/5/17,64,MN,2,10,3,Blue,137
2022/5/17,64,MN,2,11,4,Blue,145
2022/5/17,64,MN,2,12,4,Blue,132
2022/5/17,64,MN,2,13,4,Blue,114
2022/5/17,64,MN,2,14,4,Blue,105
2022/5/17,64,MN,2,15,4,Blue,110
2022/5/17,64,MN,2,16,5,Blue,100
2022/5/17,64,MN,2,17,5,Blue,113
2022/5/17,64,MN,2,18,5,Blue,111
2022/5/17,64,MN,2,19,5,Blue,92
2022/5/17,64,MN,2,20,5,Blue,102
2022/5/17,64,MN,2,21,6,Blue,97
2022/5/17,64,MN,2,22,6,Blue,79
2022/5/17,64,MN,2,23,6,Blue,91
2022/5/17,64,MN,2,24,6,Blue,83
2022/5/17,64,MN,2,25,6,Blue,88
2022/5/17,64,MN,2,26,6,Blue,88
2022/5/17,64,MN,2,27,6,Blue,82
2022/5/17,64,MN,2,28,6,Blue,83
2022/5/17,64,MN,2,29,6,Blue,94
2022/5/17,64,MN,2,30,6,Blue,82
